S:,843101,Toggled,Solenoid
S:,846373,Toggled,Solenoid
S:,846516,Toggled,Solenoid
S:,846659,Toggled,Solenoid
S:,846801,Toggled,Solenoid
S:,846935,Toggled,Solenoid
S:,847075,Toggled,Solenoid
S:,847215,Toggled,Solenoid
S:,847356,Toggled,Solenoid
S:,852776,Toggled,Solenoid
S:,852920,Toggled,Solenoid
S:,856458,Fired
S:,857347,Toggled,Solenoid
S:,857478,Toggled,Solenoid
S:,867688,Toggled,Solenoid
S:,867828,Toggled,Solenoid
S:,873360,Toggled,Solenoid
S:,873508,Toggled,Solenoid
S:,878729,Toggled,Solenoid
S:,883296,Fired
S:,884727,Toggled,Solenoid
S:,886155,Toggled,Solenoid
S:,892596,Toggled,Solenoid
S:,893170,Toggled,Solenoid
S:,893316,Toggled,Solenoid
S:,893730,Toggled,Solenoid
S:,893874,Toggled,Solenoid
S:,895709,Toggled,Solenoid
S:,895995,Toggled,Solenoid
S:,900129,Toggled,Solenoid
S:,900275,Toggled,Solenoid
S:,901641,Fired
S:,911278,Toggled,Solenoid
S:,911736,Toggled,Solenoid
S:,913010,Toggled,Solenoid
S:,913141,Toggled,Solenoid
S:,913283,Toggled,Solenoid
S:,916809,Toggled,Solenoid
S:,919336,Fired
S:,921476,Toggled,Solenoid
S:,921621,Toggled,Solenoid
S:,925401,Toggled,Solenoid
S:,931378,Toggled,Solenoid
S:,936429,Toggled,Solenoid
S:,936576,Toggled,Solenoid
S:,938831,Fired
S:,940129,Toggled,Solenoid
S:,940261,Toggled,Solenoid
S:,946262,Toggled,Solenoid
S:,946397,Toggled,Solenoid
S:,955916,Toggled,Solenoid
S:,956057,Toggled,Solenoid
S:,961877,Toggled,Solenoid
S:,962018,Toggled,Solenoid
S:,964982,Fired
S:,966096,Toggled,Solenoid
S:,971218,Toggled,Solenoid
S:,974510,Toggled,Solenoid
S:,974642,Toggled,Solenoid
S:,975057,Toggled,Solenoid
S:,975194,Toggled,Solenoid
S:,975883,Toggled,Solenoid
S:,978890,Toggled,Solenoid
S:,980982,Fired
S:,987710,Toggled,Solenoid
S:,987856,Toggled,Solenoid
S:,990690,Toggled,Solenoid
S:,992963,Fired
S:,1003078,Toggled,Solenoid
S:,1003223,Toggled,Solenoid
S:,1005618,Toggled,Solenoid
S:,1006057,Toggled,Solenoid
S:,1008064,Toggled,Solenoid
S:,1009923,Fired
S:,1012783,Toggled,Solenoid
